Id_Commentaire,"Commentaires",Sentiments
59,"Le support client est inexistant, mes demandes de remplacement sont restées sans réponse.",-
60,"Je regrette d'avoir dépensé mon argent pour ce produit, c'est une perte totale.",-
61," Ce produit a résolu mon problème, je ne peux que le recommander.",+
62," Un excellent rapport qualité-prix, je suis très satisfait de mon achat.",+
63,"Le service client a été très réactif et compétent, merci !",+
64,"Ce produit est facile à utiliser et offre des résultats exceptionnels.",+
65,"Je suis impressionné par la durabilité de ce produit, il est robuste.",+
66,"La livraison a été ponctuelle et le colis était en parfait état.",+
67,"Cet achat a vraiment amélioré ma vie quotidienne, je le recommande vivement.",+
68,"Ce produit est hautement performant, je suis agréablement surpris.",+
69,"Je suis ravi de la garantie offerte avec ce produit, c'est rassurant.",+
70,"Je suis tellement satisfait de mon achat que je vais en commander un autre.",+
71," La qualité de ce produit est médiocre, il ne correspond pas à mes attentes.",-
72,"Le service client est inefficace, ils ne résolvent pas mes problèmes.",-
73,"J'ai rencontré des problèmes de compatibilité avec ce produit, c'est décevant.",-
74,"La livraison a été un désastre, le colis est arrivé endommagé.",-
75," Ce produit ne fonctionne pas correctement, il y a des bugs fréquents.",-
76,"Les matériaux utilisés sont de mauvaise qualité, ils se sont rapidement détériorés.",-
77," Je n'ai pas reçu toutes les pièces nécessaires pour utiliser ce produit.",-
78," Le support client est inexistant, mes demandes sont restées sans réponse.",-
79,"Je suis très déçu de cet achat, je ne recommande pas ce produit.",-
80,"Ce produit n'est pas fiable, il a cessé de fonctionner après peu de temps.",-
81,"Livraison rapide et emballage soigné, je suis ravi.",+
82,"Un excellent rapport qualité-prix pour ce produit.",+
83,"Je suis totalement satisfait de mon achat, merci !",+
84,"C'est exactement ce que je cherchais, je suis comblé.",+
85,"Ce produit est génial, je ne peux plus m'en passer.",+
86,"L'article que j'ai reçu ne correspond pas du tout à la description, très déçu.",-
87,"Le service client est injoignable, aucune réponse à mes demandes.",-
88,"La qualité de fabrication de ce produit est médiocre, il s'est cassé rapidement.",-
89,"Le colis est arrivé en mauvais état, le produit est endommagé.",-
90,"Ce produit est une arnaque, il ne fonctionne pas du tout.",-
91,"J'ai été agréablement surpris par la qualité de ce produit.",+
92,"Le service client a été très réactif et compétent, je suis satisfait.",+
93,"Ce produit est facile à utiliser et offre de superbes fonctionnalités.",+
94,"La livraison a été rapide et le colis était bien protégé.",+
95,"Je suis déçu par la performance de ce produit, il ne répond pas à mes attentes.",-
96,"Le service client est peu aimable et n'a pas résolu mon problème.",-
97,"J'ai reçu un produit défectueux et le retour a été compliqué.",-
98,"La livraison a été retardée sans aucune communication de leur part.",-
99,"Ce produit est cher pour ce qu'il offre, je ne le recommande pas.",-
100,"Vous êtes vraiment cool !",+
